UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
101028,1,999,"Z",0,"Z",0,"R",374,"R",1079,"R",1,"R",2,"R",7,"R",10,"R",35,"R",55,"R",608,"R",938,"R",17,"R",57,"R",1042,"R",2141,"Z",0,"R",1453,"R",3,"R",17,"R",90,"R",1546,"R",74,"R",3183
101028,2,  1,"Z",0,"Z",0,"R",374,"R",1079,"R",1,"R",2,"R",7,"R",10,"R",35,"R",55,"R",608,"R",938,"R",17,"R",57,"R",1042,"R",2141,"Z",0,"R",1453,"R",3,"R",17,"R",90,"R",1546,"R",74,"R",3183
101073,1,999,"R",17,"R",5,"R",403,"R",461,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",10,"Z",0,"Z",0,"R",429,"R",476,"R",22,"R",864,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",905
101073,2,  1,"R",17,"R",5,"R",403,"R",461,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",10,"Z",0,"Z",0,"R",429,"R",476,"R",22,"R",864,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",905
101116,1,999,"Z",0,"Z",0,"R",100,"R",360,"Z",0,"R",1,"R",2,"R",1,"R",1,"R",3,"R",56,"R",151,"Z",0,"R",1,"R",159,"R",517,"Z",0,"R",460,"R",1,"R",3,"R",4,"R",207,"R",1,"R",676
101116,2,  1,"Z",0,"Z",0,"R",97,"R",351,"Z",0,"R",1,"R",2,"R",1,"R",1,"R",3,"R",55,"R",147,"Z",0,"R",1,"R",155,"R",504,"Z",0,"R",448,"R",1,"R",3,"R",4,"R",202,"R",1,"R",659
101116,4,  3,"Z",0,"Z",0,"R",3,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"R",4,"R",13,"Z",0,"R",12,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",17
101143,1,999,"Z",0,"Z",0,"R",241,"R",337,"R",12,"R",11,"R",23,"R",31,"R",46,"R",42,"R",967,"R",911,"R",27,"R",30,"R",1316,"R",1362,"Z",0,"R",578,"R",23,"R",54,"R",88,"R",1878,"R",57,"R",2678
101143,2,  1,"Z",0,"Z",0,"R",241,"R",337,"R",12,"R",11,"R",23,"R",31,"R",46,"R",42,"R",967,"R",911,"R",27,"R",30,"R",1316,"R",1362,"Z",0,"R",578,"R",23,"R",54,"R",88,"R",1878,"R",57,"R",2678
101161,1,999,"Z",0,"Z",0,"R",175,"R",481,"R",8,"R",22,"R",17,"R",36,"R",19,"R",26,"R",1294,"R",2121,"R",6,"R",18,"R",1519,"R",2704,"Z",0,"R",656,"R",30,"R",53,"R",45,"R",3415,"R",24,"R",4223
101161,2,  1,"Z",0,"Z",0,"R",175,"R",481,"R",8,"R",22,"R",17,"R",36,"R",19,"R",26,"R",1294,"R",2121,"R",6,"R",18,"R",1519,"R",2704,"Z",0,"R",656,"R",30,"R",53,"R",45,"R",3415,"R",24,"R",4223
101189,1,999,"Z",0,"Z",0,"R",287,"R",1146,"R",2,"R",3,"R",13,"R",22,"R",14,"R",16,"R",894,"R",885,"R",33,"R",47,"R",1243,"R",2119,"Z",0,"R",1433,"R",5,"R",35,"R",30,"R",1779,"R",80,"R",3362
101189,2,  1,"Z",0,"Z",0,"R",265,"R",1052,"Z",0,"Z",0,"R",10,"R",18,"R",13,"R",14,"R",698,"R",768,"R",18,"R",31,"R",1004,"R",1883,"Z",0,"R",1317,"Z",0,"R",28,"R",27,"R",1466,"R",49,"R",2887
101189,3,  2,"Z",0,"Z",0,"R",5,"R",11,"Z",0,"R",3,"R",1,"R",2,"Z",0,"R",1,"R",144,"R",94,"R",11,"R",12,"R",161,"R",123,"Z",0,"R",16,"R",3,"R",3,"R",1,"R",238,"R",23,"R",284
